track_name,artists,Rank,Year,track_id,album_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
never enough,loren allred,48,2018,0Gl5s8IhMmQE5YQwM8Qx1J,The Greatest Showman (Original Motion Picture Soundtrack),75,207786,False,0.277,0.394,8,-8.903,1,0.0336,0.423,0.0,0.0952,0.227,86.777,3,show-tunes
never gonna be alone,nickelback,31,2008,7aySoZnwt7c6lA54qVVUOk,Dark Horse,62,227026,False,0.544,0.802,4,-4.152,1,0.0282,0.00155,7.34e-05,0.122,0.59,130.022,4,grunge
never gonna give you up,rick astley,44,2022,4PTG3Z6ehGkBFwjybzWkR8,Whenever You Need Somebody,45,213573,False,0.721,0.939,8,-11.823,1,0.0376,0.115,3.79e-05,0.108,0.914,113.309,4,disco
never leave,bailey zimmerman,32,2022,2Lmzw98tabQcaOmjOJF1Eg,Never Leave - Country Magic,3,207567,False,0.503,0.643,9,-6.586,1,0.0304,0.523,1.23e-06,0.0661,0.345,148.11,4,country
never say never,the fray,45,2009,57uX2vR9j9DNiANDYfXw1i,The Fray,68,256613,False,0.23,0.492,8,-5.767,1,0.0317,0.568,8.18e-06,0.176,0.262,160.139,4,piano
never too late,three days grace,47,2008,3HE50TVRquwXe9yv2HFoNL,One-X,70,209333,False,0.433,0.778,2,-4.68,0,0.0371,0.00838,0.0,0.163,0.217,149.864,4,grunge
new divide,linkin park,50,2009,6Wx88Mv6b9ofjKMKkdwOJd,Transformers: Revenge Of The Fallen The Album,70,268613,False,0.493,0.808,5,-3.365,0,0.0362,0.000235,0.0,0.0983,0.38,117.971,4,alternative
new rules,dua lipa,43,2018,2ekn2ttSfGqwhhate0LSR0,Dua Lipa (Deluxe),81,209320,False,0.762,0.7,9,-6.021,0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,4,dance
new soul,yael naim,45,2008,09nEPqqMCJ5gNioi7M2dth,Yael Naim,59,225105,False,0.582,0.371,0,-8.519,1,0.0525,0.748,9.19e-05,0.122,0.604,200.085,4,french
next thing you know,jordan davis,47,2023,2lNTHWu2I5Tcz9ukWsV5Jj,Next Thing You Know,75,175237,False,0.557,0.597,5,-8.296,1,0.048,0.646,0.0,0.0974,0.414,78.526,4,country
night changes,one direction,14,2024,5O2P9iiztwhomNh8xkR9lJ,FOUR (Deluxe),88,226600,False,0.672,0.52,8,-7.747,1,0.0353,0.859,0.0,0.115,0.37,120.001,4,pop
nightmare,avenged sevenfold,28,2010,4UEo1b0wWrtHMC8bVqPiH8,Nightmare,72,374453,True,0.554,0.949,2,-4.928,1,0.0787,0.000318,9.98e-05,0.2,0.233,129.984,4,alternative
nightmare,halsey,50,2019,340UVheS8z3ncW9TTUhAbc,Nightmare,68,231998,True,0.611,0.622,9,-5.075,0,0.0734,0.0188,0.0,0.359,0.538,146.11,4,electro
no body,blake shelton,40,2022,3fgJqcj57xcIJTg5V76tzx,Hideaway - New Boots,3,187640,False,0.739,0.72,4,-6.695,1,0.026,0.0379,0.00267,0.23,0.892,102.997,4,country
no more dream,bts,9,2023,089PFeXotzDLNQz9NCk6pF,2 Cool 4 Skool,66,222066,False,0.438,0.864,2,-5.185,1,0.47,0.0118,1.66e-06,0.431,0.594,167.898,4,k-pop
no more tears,ozzy osbourne,11,2025,7w6PJe5KBPyvuRYxFkPssC,No More Tears (Expanded Edition),68,443240,False,0.346,0.749,6,-6.506,1,0.035,0.00167,8.86e-05,0.648,0.315,102.591,4,hard-rock
no one,alicia keys,47,2008,6IwKcFdiRQZOWeYNhUiWIv,As I Am (Expanded Edition),78,253813,False,0.644,0.549,1,-5.415,0,0.0285,0.0209,8.85e-06,0.134,0.167,90.04,4,soul
no role modelz,j. cole,48,2016,68Dni7IE4VyPkTOH9mRWHr,2014 Forest Hills Drive,88,292799,True,0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028,4,hip-hop
no surprise,daughtry,50,2009,6q4XLE5WeOBWftoc9gTl2P,It's Not Over....The Hits So Far,53,270640,False,0.508,0.823,3,-3.711,1,0.031,0.00741,0.0,0.104,0.152,95.98,4,grunge
no tears left to cry,ariana grande,29,2018,2qT1uLXPVPzGgFOx4jtEuo,Sweetener,78,205920,False,0.699,0.713,9,-5.507,0,0.0594,0.04,3.11e-06,0.294,0.354,121.993,4,dance
no vacancy,onerepublic,49,2017,4QeoDcR16IHpmmgFGQDrCp,No Vacancy,56,223189,False,0.72,0.727,5,-3.882,1,0.0489,0.0556,0.0,0.138,0.481,99.994,4,piano
not afraid,eminem,50,2011,7Ie9W94M7OjPoZVV216Xus,Recovery,81,248133,True,0.855,0.954,0,-1.19,0,0.264,0.529,0.0,0.205,0.668,114.635,5,hip-hop
not today,bts,13,2024,3wyrhwPpV8uhMMEms4vG3X,You Never Walk Alone,71,231859,False,0.593,0.945,8,-3.408,1,0.126,0.00174,0.0,0.923,0.674,110.023,4,k-pop
now or never,halsey,23,2017,7i2DJ88J7jQ8K7zqFX2fW8,hopeless fountain kingdom (Deluxe),67,214801,False,0.67,0.585,6,-4.861,0,0.0354,0.107,1.11e-06,0.131,0.447,110.03,4,indie-pop
nude,radiohead,14,2008,35YyxFpE0ZTOoqFx5bADW8,In Rainbows,69,255386,False,0.516,0.342,4,-9.785,1,0.0342,0.832,0.579,0.0857,0.167,128.378,3,alt-rock
numb,linkin park,12,2023,2nLtzopw4rPReszdYBJU6h,Meteora,83,185586,False,0.496,0.863,9,-4.153,1,0.0381,0.0046,0.0,0.639,0.243,110.018,4,alternative
numb little bug,em beihold,44,2022,3o9kpgkIcffx0iSwxhuNI2,Numb Little Bug,78,169237,False,0.742,0.527,8,-6.892,0,0.0769,0.327,0.0,0.25,0.638,84.974,4,singer-songwriter
o holy night,josh groban,41,2020,1QT8jsU78e4A3gytCQX6Pm,100 Greatest Christmas Songs Ever,26,288680,False,0.162,0.342,11,-8.051,1,0.031,0.836,0.000788,0.0934,0.0755,84.855,4,opera
omg what's happening,ava max,39,2020,3Qb13vRv3zludproxlfl4U,Happy Commute,0,179831,False,0.698,0.854,9,-3.84,0,0.0451,0.101,0.0,0.107,0.931,124.042,4,dance
on,bts,10,2020,0fZRNhPJ4AGmwY7rkpdbqK,MAP OF THE SOUL : 7,74,246380,False,0.583,0.817,9,-5.146,0,0.099,0.118,0.0,0.338,0.437,105.935,4,k-pop
ocean avenue,yellowcard,43,2005,23oxJmDc1V9uLUSmN2LIvx,Ocean Avenue,74,198266,False,0.486,0.904,6,-3.751,0,0.0638,3.43e-05,2.83e-05,0.0947,0.786,173.734,4,punk
ocean eyes,billie eilish,38,2020,7hDVYcQq6MxkdJGweuCtl9,dont smile at me,80,200379,False,0.511,0.363,4,-7.65,0,0.041,0.816,0.0317,0.084,0.169,144.892,4,electro
oh my god,adele,49,2022,3Kkjo3cT83cw09VJyrLNwX,30,82,225148,False,0.534,0.725,1,-3.906,1,0.046,0.091,0.0,0.0264,0.55,88.098,4,british
on my mind,ellie goulding,47,2016,5a7NdkF09AfD0H607eiOkX,Delirium (Deluxe),66,213445,False,0.702,0.705,0,-6.666,1,0.0543,0.258,5.93e-06,0.0879,0.743,154.911,4,indie-pop
on my way to you,cody johnson,46,2019,0EnvJBejWaMxn3qAvWV4B9,Single Saturday Night - Country Songs,0,213306,False,0.445,0.537,1,-5.477,1,0.0311,0.331,5e-05,0.0866,0.246,157.98,4,country
one call away,charlie puth,48,2016,40z4EMfyGwTp5Tk48mu7Os,Music for Rainy Days,0,194453,False,0.667,0.613,1,-5.353,1,0.0345,0.4,0.0,0.115,0.472,91.024,4,dance
one headlight,the wallflowers,38,2022,65P8KmStYrVUPlchXH2CH8,Fiesta temática 90s,0,316520,False,0.683,0.643,2,-7.425,1,0.0312,0.000576,0.00118,0.0564,0.771,107.027,4,alt-rock
one last time,ariana grande,19,2017,7xoUc6faLbCqZO6fQEYprd,My Everything (Deluxe),83,197266,False,0.628,0.593,8,-5.036,1,0.0323,0.093,1.65e-06,0.096,0.104,125.026,4,dance
one time,justin bieber,49,2010,1i5nDFmDSi8Q3UPRVnbc03,OO's Music Grandi Successi,3,215586,False,0.69,0.856,1,-2.549,0,0.0376,0.0689,7.82e-05,0.0761,0.74,145.966,4,pop
ophelia,the lumineers,38,2023,5NORWMFC27ywGSZxi8uquP,Cleopatra,79,160097,False,0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.023,4,folk
outro : ego,bts,21,2020,2LVw2bIK99go1NdD77dUCW,MAP OF THE SOUL : 7,66,196198,False,0.808,0.903,0,-3.106,1,0.0957,0.0121,0.000248,0.0993,0.473,116.988,4,k-pop
over my head (cable car),the fray,43,2007,1N62wozuHCvczCkY4QidpP,How To Save A Life,70,236266,False,0.592,0.729,8,-4.156,1,0.0448,0.022,0.0,0.0653,0.709,116.03,4,piano
over you,daughtry,46,2008,3sC7PN1vjzEovhjHlQse3N,Daughtry,55,204853,False,0.423,0.922,3,-2.602,1,0.0411,0.017,0.0,0.102,0.567,156.063,4,grunge
overpass graffiti,ed sheeran,31,2021,7xrLgNBENSWmiu6s8lYIQ8,Feeling Good,0,236906,False,0.52,0.849,9,-3.794,0,0.186,0.00253,0.0,0.119,0.774,175.908,4,pop
p.y.t. (pretty young thing),glee cast,37,2011,3SmEmQtCTSHSHPRKdRuHli,"Glee: The Music, The Complete Season Two",28,236320,False,0.847,0.772,9,-4.763,0,0.0692,0.196,0.0,0.24,0.914,127.381,4,club
pain,jimmy eat world,37,2004,2WhDg8UWljoAl8oNh8uZbJ,Futures (Deluxe Edition),64,181306,False,0.395,0.955,0,-3.352,0,0.12,0.0176,0.0,0.585,0.283,168.005,4,power-pop
pain,three days grace,50,2007,5PZ2cqh9Yem2g6cTSOLllz,One-X,68,202973,False,0.416,0.741,7,-4.001,1,0.0335,0.00804,0.0,0.273,0.286,160.515,4,grunge
pandora's box,j-hope,12,2022,2On611HXKQAbaYkuc4NQAm,Jack In The Box,68,156291,False,0.785,0.807,0,-3.877,1,0.178,0.198,0.0,0.326,0.228,96.981,4,k-pop
paparazzi,lady gaga,44,2010,5LHnaiB8E3x95ZbYFmOUfk,OO's Music Grandi Successi,4,208173,False,0.761,0.734,5,-2.871,0,0.0428,0.129,0.0,0.086,0.375,114.907,4,dance
paper planes,m.i.a.,50,2009,1ixbwbeBi5ufN4noUKmW5a,Kala,77,205200,False,0.447,0.848,2,-6.175,1,0.222,0.033,7.46e-05,0.65,0.485,172.253,4,indie-pop
paralyzer,finger eleven,50,2008,28IEbk5a7twNTbUEvWslUb,Them Vs. You Vs. Me (Deluxe Edition),75,208106,False,0.644,0.939,11,-3.486,0,0.0456,0.157,0.0,0.233,0.861,106.031,4,grunge
parasite eve,bring me the horizon,27,2020,5OxclJsdFESni44YlpNpkR,Parasite Eve,65,291812,True,0.589,0.797,9,-5.464,1,0.15,0.0289,4.35e-06,0.383,0.232,102.489,4,metal
paris,the chainsmokers,47,2017,72jbDTw1piOOj770jWNeaG,Memories...Do Not Open,74,221506,False,0.653,0.658,2,-6.428,1,0.0304,0.0215,1.66e-06,0.0939,0.219,99.99,4,dance
patience,chris cornell,15,2020,7n3u7RrzdXGVcclBEp9aSa,Patience,58,253120,False,0.597,0.646,6,-7.378,0,0.0344,0.28,0.0,0.111,0.364,126.951,4,grunge
people are crazy,billy currington,49,2022,3CnFfsYOIWdawTvM4Tnfh1,Artsy & Colourful,0,232053,False,0.657,0.714,5,-4.986,1,0.0265,0.23,0.000744,0.127,0.361,141.967,4,country
pepas,farruko,49,2021,5fwSHlTEWpluwOM0Sxnh5k,Pepas,86,287120,True,0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,4,latin
perfect,ed sheeran,18,2023,0tgVpDi06FyKpA1z0VMD4v,÷ (Deluxe),87,263400,False,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,3,pop
perfect situation,weezer,31,2006,1D7UBHqaPWDbBHs2S5YXge,Make Believe,55,254333,False,0.47,0.806,6,-4.1,1,0.0328,0.0271,0.000142,0.2,0.403,93.853,4,power-pop
permission to dance,bts,44,2021,3XYRV7ZSHqIRDG87DKTtry,Permission to Dance,80,187585,False,0.702,0.741,9,-5.33,1,0.0427,0.00544,0.0,0.337,0.646,124.925,4,k-pop
photograph,def leppard,45,2021,18URo35acNKRTHfEdjTcGn,Pyromania,68,247962,False,0.602,0.877,4,-6.606,1,0.0515,0.000343,0.635,0.0551,0.617,123.679,4,hard-rock
photograph,ed sheeran,50,2015,1HNkqx9Ahdgi1Ixy2xkKkL,x (Deluxe Edition),85,258986,False,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,4,pop
photograph,nickelback,38,2023,3hb2ScEVkGchcAQqrPLP0R,All the Right Reasons,69,258920,False,0.515,0.876,8,-3.756,1,0.0292,0.000932,0.000166,0.136,0.385,145.916,4,grunge
physical,dua lipa,24,2020,5AapsFftm3jjb3e2eMLG1E,New Pop Icons,0,193829,False,0.647,0.844,0,-3.756,1,0.0457,0.0137,0.000658,0.102,0.746,146.967,4,dance
pick me up,gabby barrett,38,2022,7C2xXcXTr7AItNOMVr1Oul,Country Car Hits,0,169440,False,0.472,0.701,2,-4.563,1,0.0369,0.0387,0.0,0.107,0.515,79.805,4,country
pickup man,joe diffie,19,2020,4LILQ0tq8SoF29dkAX6RXf,16 Biggest Hits,46,216400,False,0.712,0.745,7,-7.141,1,0.0389,0.408,0.0,0.346,0.843,140.621,4,country
pillowtalk,zayn,44,2016,0PDUDa38GO8lMxLCRc4lL1,Mind Of Mine (Deluxe Edition),78,202746,True,0.584,0.7,11,-4.275,1,0.0456,0.117,0.0,0.0939,0.438,124.944,4,dance
pink venom,blackpink,48,2022,7EyhPjrJzjx0fk2i7vUJCS,Pink Venom,85,186964,False,0.794,0.719,0,-7.227,1,0.0761,0.0119,0.0,0.276,0.69,90.016,4,k-pop
play it again,luke bryan,50,2021,03fT3OHB9KyMtGMt2zwqCT,Crash My Party,75,226866,False,0.506,0.886,11,-3.225,1,0.0655,0.0916,0.0,0.0734,0.595,143.935,4,country
poker face,lady gaga,15,2022,24tNhacN8vdN8OqkR7LcNm,Workout Hits 2023,3,238906,False,0.851,0.818,4,-4.637,1,0.0789,0.112,2.94e-06,0.0945,0.808,119.006,4,dance
pompeii,bastille,49,2015,3oaqIiIIu9KUrfqE4AeT93,10's Music Grandi Successi,1,216760,False,0.68,0.711,9,-6.371,1,0.0414,0.0918,0.0,0.241,0.571,127.436,4,rock
pony,ginuwine,37,2016,6mz1fBdKATx6qP4oP1I65G,R&B: From Doo-Wop To Hip-Hop,73,251733,True,0.749,0.605,8,-9.359,0,0.086,0.00186,0.0381,0.115,0.966,142.024,4,soul
pork and beans,weezer,47,2008,5txH6topQylTHnb4lZMdQ1,Weezer,52,189400,False,0.599,0.626,6,-6.622,1,0.0339,0.0108,8.8e-06,0.158,0.708,119.837,4,power-pop
positions,ariana grande,36,2021,35mvY5S1H3J2QZyna3TFe0,Positions,85,172324,True,0.737,0.802,0,-4.771,1,0.0878,0.468,0.0,0.0931,0.682,144.015,4,dance
press,cardi b,45,2019,15VZk4nrY1ZKdTouZoaxub,Energy Hip Hop,0,143791,True,0.906,0.525,1,-5.665,1,0.291,0.029,5.76e-06,0.137,0.24,134.027,4,dance
pretending,glee cast,21,2011,2uq0ZXtL4mF5pvZ8LeVIDo,"Glee: The Music, Volume 6",44,237520,False,0.477,0.687,9,-5.721,1,0.0468,0.291,0.0,0.118,0.421,167.947,4,club
pretty good at drinkin' beer,billy currington,49,2010,7DSTFdDCDdAaD8hMtAmLzh,Tailgate Country,0,179906,False,0.769,0.678,5,-3.725,1,0.0315,0.427,8.04e-06,0.0939,0.581,106.953,4,country
promises,nero,38,2012,4UZifG6wVTl3dFIeHKLi8y,Welcome Reality,56,257386,False,0.484,0.943,9,-4.364,0,0.0647,3.77e-05,0.00452,0.593,0.345,143.933,4,drum-and-bass
proud,marshmello,44,2019,4YXKVaWzHaVyDq2pVS5cgR,Joytime III,55,191000,False,0.521,0.716,0,-4.999,1,0.0364,0.0372,0.0,0.148,0.12,77.562,4,progressive-house
proud mary,tina turner,23,2023,6gJdDnF2TzfA1WPMXuCa3x,What's Love Got to Do with It?,67,327400,False,0.397,0.499,2,-10.972,1,0.0685,0.0766,1.55e-06,0.111,0.367,171.067,4,disco
provenza,karol g,50,2022,51R9caoQ0l5bZ1ahBeqJq9,Verano en Junio,0,210200,False,0.87,0.516,1,-8.006,1,0.0541,0.656,0.00823,0.11,0.53,111.005,4,reggae
pumped up kicks,foster the people,47,2012,7w87IxuO7BDcJ3YUqCyMTT,Torches,84,239600,False,0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,4,indie
punani,6ix9ine,34,2020,3ld2fjhbRmMXHOeF1nzOdr,TattleTales,57,115254,True,0.841,0.541,9,-7.121,1,0.229,0.0186,0.0,0.123,0.42,97.961,4,emo
push my luck,the chainsmokers,47,2019,4h8Pmw3RELdsanPjssyJoB,World War Joy,58,181853,False,0.563,0.645,2,-6.422,1,0.0428,0.293,0.0,0.202,0.523,89.976,4,edm
put your records on,corinne bailey rae,41,2007,6Kt6Lnwhmw13qeD345A84E,OO's Music Grandi Successi,0,215413,False,0.736,0.506,9,-7.857,1,0.0344,0.182,3.57e-06,0.134,0.563,96.083,4,british
que tire pa lante,daddy yankee,34,2019,6RyaV7owmVU6fzEPE17sF1,Que Tire Pa Lante,69,210520,False,0.658,0.901,7,-2.814,1,0.0357,0.0478,0.0,0.12,0.708,93.979,4,latino
queen of broken hearts,blackbear,22,2020,1xyUCr7dIJYaUaaiDf4Q1L,everything means nothing,67,171171,True,0.717,0.712,0,-6.098,1,0.0765,0.00663,0.0,0.0756,0.825,97.019,4,electro
queens don't,raelynn,50,2018,7ogBckkBvJJDRdn2ZNNUb4,Cozy Country,0,185586,False,0.658,0.695,0,-5.499,1,0.0279,0.0708,0.0,0.13,0.572,133.939,4,country
rgf island,fetty wap,46,2015,1iuljeYz6ZG3GTJOZZkoer,Fetty Wap (Deluxe),59,173893,True,0.746,0.764,0,-5.066,0,0.0423,0.00116,8.19e-06,0.0867,0.518,137.98,4,j-dance
radioactive,imagine dragons,22,2022,62yJjFtgkhUrXktIoSjgP2,Night Visions,80,186813,False,0.448,0.784,9,-3.686,1,0.0627,0.106,0.000108,0.668,0.236,136.245,4,rock
rain is a good thing,luke bryan,46,2010,754GZNuFfUJ0RVPjG8Gwaw,Artsy & Colourful,0,176160,False,0.622,0.931,11,-4.66,0,0.0507,0.106,2.45e-06,0.328,0.521,108.051,4,country
rainbow,kacey musgraves,44,2020,79qxwHypONUt3AFq0WPpT9,Golden Hour,70,214293,False,0.581,0.197,3,-7.697,1,0.0329,0.88,0.0,0.107,0.349,130.367,4,country
rap devil,machine gun kelly,33,2018,7hgxdDJAyaQKsGl9ZquRsh,Twisted Halloween Hits,0,286117,True,0.895,0.839,0,-4.51,1,0.227,0.217,2.89e-06,0.239,0.754,149.952,4,hip-hop
rap god,eminem,45,2014,6or1bKJiZ06IlK0vFvY75k,The Marshall Mathers LP2 (Deluxe),78,363521,True,0.708,0.843,7,-2.66,1,0.314,0.397,0.0,0.799,0.625,148.14,4,hip-hop
reckless love,cory asbury,50,2018,0rH0mprtecH3grD9HFM5AD,Reckless Love,70,333386,False,0.572,0.685,6,-7.29,1,0.0356,0.0291,0.0,0.0963,0.232,110.698,4,world-music
red cold river,breaking benjamin,14,2018,6ZfPmIbwzz6fopTNwAJTPs,Ember,58,200906,False,0.376,0.967,3,-3.277,0,0.166,0.000248,2.64e-06,0.0575,0.226,91.582,4,grunge
rehab,amy winehouse,20,2011,3N4DI1vuTSX1tz7fa2NQZw,Back To Black (Deluxe Edition),73,214946,False,0.407,0.558,0,-13.609,1,0.0552,0.0541,1.51e-06,0.34,0.777,71.815,4,british
remedy,adele,17,2015,1zZh6zTXcDgvN0C6S1G4gU,25,65,245426,False,0.405,0.3,2,-6.475,1,0.0378,0.894,0.0,0.154,0.24,162.355,3,british
renegades,x ambassadors,34,2015,0fYVliAYKHuPmECRs1pbRf,VHS,76,195200,False,0.526,0.862,2,-6.003,1,0.0905,0.0144,0.0597,0.229,0.528,90.052,4,alt-rock
replay,iyaz,48,2010,4E5P1XyAFtrjpiIxkydly4,Replay,76,182306,False,0.706,0.751,9,-6.323,1,0.0708,0.173,0.0,0.168,0.195,91.031,4,dance
rescue,lauren daigle,46,2023,7r9kOxiNDnkAg5QKqtyjVk,Look Up Child,69,215613,False,0.293,0.237,6,-8.17,1,0.0284,0.78,0.0,0.11,0.108,92.935,4,alt-rock
rescue me,onerepublic,11,2019,4FJFz3htV3dahKGoa2mGzh,pov: it's 2019,0,159650,False,0.761,0.606,11,-7.742,0,0.0424,0.157,0.0,0.574,0.646,121.038,4,piano
respect,bts,26,2020,2yKBnKOmPXePrbHqRv42r4,MAP OF THE SOUL : 7,64,237540,False,0.661,0.838,0,-4.806,1,0.116,0.00491,0.0,0.287,0.526,91.463,4,k-pop
return of the mack,mark morrison,31,2020,3jDdpx9PMlfMBS5tOBHFm9,Return of the Mack,75,213093,False,0.715,0.833,2,-5.379,1,0.108,0.00631,0.0,0.164,0.612,95.487,4,british
rhythm of love,plain white t's,38,2011,1OUxBM6TphEnDh4EQkNRv1,Wonders Of The Younger (International Version),53,200200,False,0.531,0.549,8,-7.895,1,0.0378,0.363,0.0,0.118,0.681,171.781,4,punk-rock
ride,twenty one pilots,49,2017,2Z8WuEywRWYTKe1NybPQEW,Blurryface,82,214506,False,0.645,0.713,6,-5.355,1,0.0393,0.00835,0.0,0.113,0.566,74.989,4,rock
right here,staind,43,2005,36IkR2i4HaV3SRsSHzje6v,Chapter V,46,251013,False,0.487,0.627,10,-6.506,0,0.0304,0.00141,3e-05,0.109,0.219,112.269,4,grunge
right now (na na na),akon,46,2009,2VqAEP1yY5T523K7bZtL8a,Freedom,71,240746,False,0.83,0.857,8,-4.194,0,0.152,0.262,0.0,0.413,0.607,137.982,4,dance
riptide,vance joy,46,2015,7yq4Qj7cqayVTp3FF9CWbm,Dream Your Life Away,82,204280,False,0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,4,folk
rise up,andra day,3,2021,0tV8pOpiNsKqUys0ilUcXz,Cheers to the Fall,73,253342,False,0.398,0.316,1,-7.031,1,0.0368,0.805,0.0,0.295,0.174,118.582,4,soul
rock and a hard place,bailey zimmerman,49,2023,4kUrtRwzg1W6jN38Qk0Z5U,All That Really Matters - Just Hits,0,207540,False,0.582,0.568,1,-7.3,1,0.0275,0.577,0.0,0.105,0.394,121.991,3,country
rockin' around the christmas tree,brenda lee,11,2025,6miHkzLx5cKHhxSP3ozWQ6,Country Christmas Greatest Hits,1,124906,False,0.708,0.593,8,-6.167,1,0.046,0.764,0.0,0.484,0.856,140.508,4,rockabilly
rockstar,nickelback,25,2023,3RlsVPIIs5KFhLFhxZ4iDF,All the Right Reasons (Walmart Exclusive Edition),70,252040,False,0.616,0.91,0,-3.004,1,0.0386,0.0459,0.0,0.343,0.693,144.072,4,alt-rock
rolling in the deep,adele,47,2021,4OSBTYWVwsQhGLF9NHvIbR,21,81,228093,True,0.73,0.769,8,-5.114,1,0.0298,0.138,0.0,0.0473,0.507,104.948,4,british
rompe,daddy yankee,46,2006,4Xtlw8oXkIOvzV7crUBKeZ,Barrio Fino En Directo,74,188626,True,0.696,0.858,9,-5.155,1,0.0859,0.0727,3.19e-06,0.0631,0.533,176.061,4,latino
roses,saint jhn,50,2020,3mRlFZHUyvJbPTlkzg4LyJ,Collection One,62,173610,True,0.782,0.5,5,-6.473,0,0.0611,0.342,1.88e-05,0.133,0.28,102.008,4,house
rude,magic!,41,2015,6RtPijgfPKROxEzTHNRiDp,Don't Kill the Magic,81,224840,False,0.773,0.758,1,-4.993,1,0.0381,0.0422,0.0,0.305,0.925,144.033,4,reggae
ruff ryders' anthem,dmx,2,2021,1BKT2I9x4RGKaKqW4up34s,It's Dark And Hell Is Hot,70,214440,True,0.88,0.577,10,-8.093,0,0.302,0.0564,1.02e-06,0.201,0.74,90.991,4,hardcore
rumour has it,adele,44,2012,5mFMb5OHI3cN0UjITVztCj,21,67,223266,False,0.612,0.749,0,-5.014,1,0.0446,0.615,0.0,0.167,0.574,120.052,4,british
rumour has it / someone like you,glee cast,36,2011,5iYUt3rsgrGFU0nugdhYwj,"Glee: The Music, Volume 7",54,207946,False,0.64,0.896,6,-3.221,0,0.079,0.275,0.0,0.147,0.751,123.071,4,club
run,foo fighters,43,2017,1wLQwg0mloy3yXjL0jPE0N,Concrete and Gold,61,323373,False,0.365,0.892,4,-8.036,0,0.0786,3.31e-05,0.0948,0.751,0.176,136.133,4,grunge
run,leona lewis,44,2008,4hrAKlxfblnG7llBEEX7TR,Spirit,62,314720,False,0.285,0.462,5,-6.166,0,0.0291,0.428,5.61e-06,0.122,0.0923,142.365,4,british
run,onerepublic,47,2021,3tjC9XdMwEF8KW82F6rV6f,Frühstücksmusik Herbst/Winter 2022/2023,0,169010,False,0.682,0.72,11,-8.173,0,0.0381,0.326,0.0,0.148,0.673,117.003,4,piano
run bts,bts,3,2022,69xohKu8C1fsflYAiSNbwM,Proof,84,204939,False,0.724,0.818,8,-3.747,1,0.168,0.0201,0.0,0.0358,0.696,77.004,4,k-pop
run rudolph run,chuck berry,35,2023,1S4rxDloMtAduogKeiJZmR,CHRISTMAS TOP HITS 2022,0,162897,False,0.647,0.876,10,-5.662,1,0.185,0.881,3.59e-05,0.26,0.949,151.925,4,blues
runaround sue,dion,35,2021,1DndHckdH9m5rp6gYP086b,Runaround Sue,67,171600,False,0.364,0.607,2,-9.791,1,0.125,0.451,0.0,0.251,0.598,79.987,4,rock-n-roll
running up that hill (a deal with god),kate bush,39,2022,75FEaRjZTKLhTrFGsfMUXR,Hounds Of Love,90,298933,False,0.629,0.547,10,-13.123,0,0.055,0.72,0.00314,0.0604,0.197,108.375,4,piano
sad!,xxxtentacion,35,2019,3ee8Jmje8o58CHK66QrVC2,?,83,166605,True,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,4,emo
safe and sound,capital cities,42,2014,6Z8R6UsFuGXGtiIxiD8ISb,In A Tidal Wave Of Mystery (Deluxe Edition),83,192789,False,0.655,0.819,0,-4.852,1,0.0316,0.000176,0.00374,0.104,0.766,117.956,5,rock
safety dance,glee cast,48,2010,05wRpBHnbs5xsz8UhRZz3x,Glee The 3D Concert Movie (Motion Picture Soundtrack),20,154626,False,0.609,0.947,8,-5.823,0,0.234,0.0389,0.0,0.956,0.177,105.012,4,club
safety zone,j-hope,11,2022,00I41xsW6SunZDJ5fB8KAd,Jack In The Box,68,165340,False,0.676,0.742,8,-5.017,1,0.162,0.561,0.0,0.155,0.694,77.071,4,k-pop
sailing,christopher cross,43,2020,6Hu6dzwlvoyg3zBUC8k4BK,Christopher Cross,71,256146,False,0.469,0.382,2,-13.203,1,0.0374,0.364,0.00025,0.36,0.178,149.994,4,disco
same old love,selena gomez,40,2016,6ZANrVuAMp2rpjhfbOuJly,Revival (Deluxe),71,229080,False,0.672,0.593,11,-4.01,0,0.0304,0.0223,0.0,0.214,0.438,98.02,4,dance
santeria,sublime,25,2022,5mhWD3cDX9JTP0ukiEzNWf,Hits Pop Rock 90's,1,183200,False,0.665,0.751,4,-5.003,1,0.041,0.0209,5.16e-06,0.121,0.58,90.376,4,punk
save your tears,the weeknd,43,2021,5QO79kh1waicV47BqGRL3g,After Hours,89,215626,True,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,4,pop
