track_name,artists,Rank,Year,track_id,album_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
light switch,charlie puth,49,2022,3AVXwaOGCEL8cmBecfcsFJ,Light Switch (Instrumental),77,187703,False,0.69,0.626,6,-5.693,1,0.306,0.105,0.000335,0.0881,0.912,184.009,4,dance
light up the world,glee cast,17,2011,1Et2wMhDPqbu5y4sGRt6Ue,"Glee: The Music, Volume 6",43,223653,False,0.689,0.796,10,-5.472,1,0.0406,0.000599,0.0,0.12,0.856,118.03,4,club
lights,bts,18,2025,45HQ2LUH4ZruF1KmAnGLbq,"BTS, THE BEST",61,290960,False,0.607,0.636,5,-5.605,1,0.0324,0.179,0.0,0.176,0.421,98.997,4,k-pop
lights,ellie goulding,48,2022,4QCnMOWxfDkTsGt82HULFb,Old But Gold,66,245853,False,0.699,0.732,8,-6.307,0,0.0304,0.0771,0.00198,0.131,0.676,120.028,4,edm
like a star,corinne bailey rae,44,2007,5Anh8jULgeUgciLHCR25Mk,Corinne Bailey Rae,62,243213,False,0.606,0.226,2,-10.617,0,0.0347,0.715,0.0001,0.35,0.142,122.711,4,british
like we never loved at all,faith hill,43,2005,0HGpVO2aqh9Dadfs90S1mP,Finest Country,0,257693,False,0.494,0.467,2,-8.184,1,0.0286,0.0822,0.0,0.111,0.292,133.81,4,country
linger,the cranberries,12,2018,6ZkwokCipkGiqvpnIt2APo,Del gusto de mamá,0,273600,False,0.201,0.762,7,-6.376,1,0.0337,0.0953,1.46e-05,0.358,0.131,94.832,4,rock
lips of an angel,hinder,48,2021,40LQiUUUKXVGyNs09lHVjW,Extreme Behavior,73,261853,False,0.476,0.736,2,-5.38,1,0.0343,0.0217,1.08e-06,0.203,0.251,129.084,4,alt-rock
little lion man,mumford & sons,36,2011,2KrN3MCNztKcSleZgHEj83,Sigh No More,68,245173,True,0.517,0.492,5,-8.05,1,0.0272,0.0275,3.19e-05,0.0873,0.455,138.585,4,folk
little talks,of monsters and men,42,2013,7xgGHigPZUBKc4neD74lpG,10's Music Grandi Successi,0,266333,False,0.446,0.76,1,-4.725,1,0.0321,0.0159,0.0,0.319,0.346,103.295,4,folk
